1005140,-28.465109,-62.846547
1005150,-28.464993,-62.846369
1005160,-28.464776,-62.846109
1005170,-28.464691,-62.846097
1005180,-28.464512,-62.846062
1005190,-28.464386,-62.845758
1005200,-28.464262,-62.845641
1005210,-28.464178,-62.845559
1005220,-28.464036,-62.84559
1005230,-28.463873,-62.845432
1005240,-28.463845,-62.845406
1005241,-28.463594,-62.845553
1005250,-28.468268,-62.846751
1005251,-28.468491,-62.846861
1005260,-28.468277,-62.846632
1005261,-28.46866,-62.846398
1005270,-28.467873,-62.845386
1005280,-28.468248,-62.844927
1005290,-28.468382,-62.845237
1005300,-28.468716,-62.845351
1005310,-28.468606,-62.845519
1005311,-28.468606,-62.845519
1005320,-28.468658,-62.845395
1005330,-28.468556,-62.845585
1005340,-28.468858,-62.845528
1005350,-28.469264,-62.845937
1005351,-28.469295,-62.846051
1005360,-28.469507,-62.845996
1005370,-28.469463,-62.845797
1005371,-28.469763,-62.845903
1005380,-28.469434,-62.845754
1005390,-28.469377,-62.845414
1005400,-28.46948,-62.845052
1005401,-28.469198,-62.845091
